(h11 h10 1)
(h21 h11 1)
(h0 h9 1)
(h16 h11 1)
(h5 h20 1)
(h19 h1 1)
(h12 h2 1)
(h12 h14 1)
(h10 h9 1)
(h6 h4 1)
(h15 h2 1)
(h21 h20 1)
(h22 h9 1)
(h6 h20 1)
(h14 h13 1)
(h15 h22 1)
(h1 h11 1)
(h20 h17 1)
(h5 h7 1)
(h2 h16 1)
(h13 h12 1)
(h0 h14 1)
(h9 h23 1)
(h0 h4 1)
(h5 h22 1)
(h10 h6 1)
(h15 h4 1)
(h0 h23 1)
(h8 h20 1)
(h4 h23 1)
(h16 h8 1)
(h11 h13 1)
(h6 h0 1)
(h8 h6 1)
(h22 h6 1)
(h22 h14 1)
(h9 h15 1)
(h4 h5 1)
(h9 h13 1)
(h9 h10 1)
(h3 h11 1)
(h18 h11 1)
(h11 h21 1)
(h4 h15 1)
(h17 h9 1)
(h7 h17 1)
(h19 h2 1)
(h15 h6 1)
(h2 h9 1)
(h6 h19 1)
(h13 h22 1)
(h1 h16 1)
(h17 h15 1)
(h0 h8 1)
(h17 h14 1)
(h3 h6 1)
(h13 h11 1)
(h1 h12 1)
(h9 h2 1)
(h11 h23 1)
(h7 h21 1)
(h15 h23 1)
(h1 h17 1)
(h0 h12 1)
(h11 h16 1)
(h18 h8 1)
(h20 h21 1)
(h16 h9 1)
(h1 h5 1)
(h4 h13 1)
(h23 h3 1)
(h22 h11 1)
(h16 h14 1)
(h8 h21 1)
(h0 h6 1)
(h20 h5 1)
(h0 h7 1)
(h3 h23 1)
(h16 h18 1)
(h17 h4 1)
